schema_version,matrix,run_id,run_timestamp_utc,run_status,run_error,instance_id,family,encoding,decoder,alpha_mode,execution_mode,seed,best_sampled_F,best_sampled_G,top1_regret,topk_regret,optimum_recall_at_k,best_top_G_sampled_F,spearman_rho_F_G,retained_energy_eta,decision_distortion,decode_success,postselection_success,runtime_sec,resource_decode_uncompute_model,resource_decode_uncompute_status,resource_decode_uncompute_confidence,resource_total_gate_est_with_decode,resource_total_depth_est_with_decode,resource_total_qubits_est_with_decode,resource_prefix_gate_est,resource_prefix_depth_est,resource_decode_model_gate_est,resource_decode_model_depth_est,resource_weight_register_qubits,resource_coherent_weight_register_gate_est,resource_coherent_weight_register_depth_est,attempted_execution,boundary_reason,decoder_internal_mode,ell,error_message,error_type,estimated_memory_gb,estimated_qubits,gain_over_bp1,gain_over_bruteforce,metric_availability,peak_memory_mb,runtime,structure_ambiguous_syndrome_count,structure_col_weight_max,structure_col_weight_mean,structure_collision_rate,structure_decodable_syndrome_fraction,structure_distance_proxy,structure_rank,structure_rank_deficiency,structure_row_weight_max,structure_row_weight_mean,structure_short_cycle_proxy,wall_clock_s
1.0,matrix_c,matrix_c_P_P6_wht_truncated_pricing_bruteforce_paper_mixture_seed42,2026-03-15T22:27:13+00:00,completed,,P6,P,wht_truncated_pricing,bruteforce,paper,mixture,42,1579.5,62478.61071777344,1780.5,1780.5,0.0,1579.5,0.9323529411764706,0.8835438040432356,0.5299107142857142,0.00390625,0.9999999999999999,5.994953269000001,lookup_table_reversible,analytic_estimate_conservative,analytic_upper_bound,3519.0,1698.0,58.0,63.0,18.0,3456.0,1680.0,1.0,16.0,5.0,True,,bruteforce,1,,,8.589934592,29,-869.5,0.0,"{""best_sampled_F"": ""available"", ""best_sampled_G"": ""available"", ""best_top_G_sampled_F"": ""available"", ""decision_distortion"": ""available"", ""decode_success"": ""available"", ""optimum_recall_at_k"": ""available"", ""postselection_success"": ""available"", ""retained_energy_eta"": ""available"", ""runtime_sec"": ""available"", ""spearman_rho_F_G"": ""available"", ""top1_regret"": ""available"", ""topk_regret"": ""available""}",4295.681755,5.994953269000001,0.0,2.0,1.5833333333333333,0.0,0.00390625,3.0,11.0,1.0,2.0,1.2666666666666666,0.0,5.994953269000001
1.0,matrix_c,matrix_c_P_P6_wht_truncated_pricing_bp1_paper_mixture_seed43,2026-03-15T22:27:13+00:00,completed,,P6,P,wht_truncated_pricing,bp1,paper,mixture,43,2449.0,64889.08190917969,911.0,911.0,0.0,2449.0,0.926939541255183,0.8835438040432356,0.27113095238095236,0.5,0.9999999999999999,26.786482596,bp1_classical_oracle_estimate,analytic_estimate,implementation_proxy,49791.0,1794.0,59.0,63.0,18.0,49728.0,1776.0,1.0,16.0,5.0,True,,bp1,1,,,8.589934592,29,0.0,869.5,"{""best_sampled_F"": ""available"", ""best_sampled_G"": ""available"", ""best_top_G_sampled_F"": ""available"", ""decision_distortion"": ""available"", ""decode_success"": ""available"", ""optimum_recall_at_k"": ""available"", ""postselection_success"": ""available"", ""retained_energy_eta"": ""available"", ""runtime_sec"": ""available"", ""spearman_rho_F_G"": ""available"", ""top1_regret"": ""available"", ""topk_regret"": ""available""}",4295.658558,26.786482596,0.0,2.0,1.5833333333333333,0.0,0.00390625,3.0,11.0,1.0,2.0,1.2666666666666666,0.0,26.786482596
1.0,matrix_c,matrix_c_P_P7_wht_truncated_pricing_bruteforce_paper_mixture_seed42,2026-03-15T22:27:15+00:00,unavailable,,P7,P,wht_truncated_pricing,bruteforce,paper,mixture,42,,,,,,,,,,,,,,,,,,,,,,,,,,False,qubit_count_exceeded,,1,,,34.359738368,31,,,"{""best_sampled_F"": ""unavailable"", ""best_sampled_G"": ""unavailable"", ""best_top_G_sampled_F"": ""unavailable"", ""decision_distortion"": ""unavailable"", ""decode_success"": ""unavailable"", ""optimum_recall_at_k"": ""unavailable"", ""postselection_success"": ""unavailable"", ""retained_energy_eta"": ""unavailable"", ""runtime_sec"": ""unavailable"", ""spearman_rho_F_G"": ""unavailable"", ""top1_regret"": ""unavailable"", ""topk_regret"": ""unavailable""}",0.0,,0.0,2.0,1.3571428571428572,0.0,0.0009765625,3.0,12.0,2.0,2.0,1.2666666666666666,0.0,0.0
1.0,matrix_c,matrix_c_P_P7_wht_truncated_pricing_bp1_paper_mixture_seed43,2026-03-15T22:27:15+00:00,unavailable,,P7,P,wht_truncated_pricing,bp1,paper,mixture,43,,,,,,,,,,,,,,,,,,,,,,,,,,False,qubit_count_exceeded,,1,,,34.359738368,31,,,"{""best_sampled_F"": ""unavailable"", ""best_sampled_G"": ""unavailable"", ""best_top_G_sampled_F"": ""unavailable"", ""decision_distortion"": ""unavailable"", ""decode_success"": ""unavailable"", ""optimum_recall_at_k"": ""unavailable"", ""postselection_success"": ""unavailable"", ""retained_energy_eta"": ""unavailable"", ""runtime_sec"": ""unavailable"", ""spearman_rho_F_G"": ""unavailable"", ""top1_regret"": ""unavailable"", ""topk_regret"": ""unavailable""}",0.0,,0.0,2.0,1.3571428571428572,0.0,0.0009765625,3.0,12.0,2.0,2.0,1.2666666666666666,0.0,0.0
